employee_id,name,department,role,weekly_values,adjustments,deductions
E1056,Chris Williams,Engineering,Analyst,"[1328.5, 1381.84, 1269.84, 1404.05]",{},"{""tax"": 182.88, ""pension"": 65.12}"
E1057,Jordan Brown,Support,Manager,"[718.47, 770.27, 760.18, 754.72]",{},"{""tax"": 129.26, ""pension"": 33.9}"
E1058,Drew Miller,Support,Director,"[933.82, 924.15, 910.99, 897.48]",{},"{""tax"": 173.59, ""pension"": 27.33}"
E1059,Chris Davis,HR,Director,"[2198.32, 2062.45, 2020.69, 2030.84]",{},"{""tax"": 292.76, ""pension"": 85.63}"
E1060,Chris Johnson,Support,Manager,"[2201.21, 2417.11, 2304.34, 2071.61]",{},"{""tax"": 363.77, ""pension"": 49.86}"
E1061,Taylor Johnson,Sales,Engineer,"[890.64, 848.93, 890.86, 871.78]",{},"{""tax"": 127.46, ""pension"": 21.09}"
E1062,Casey Williams,Engineering,Director,"[1075.03, 1006.11, 994.21, 1070.92]",{},"{""tax"": 192.18, ""pension"": 42.98}"
E1063,Jamie Davis,Finance,Director,"[2590.36, 2542.03, 2630.33, 2758.6]",{},"{""tax"": 271.95, ""pension"": 122.44}"
E1064,Pat Davis,Finance,Clerk,"[619.34, 692.5, 686.47, 662.03]","{""bonus"": 198.47}","{""tax"": 111.76, ""pension"": 32.33}"
E1065,Robin Garcia,Finance,Manager,"[2730.56, 2667.83, 3121.4, 2863.41]",{},"{""tax"": 559.13, ""pension"": 91.57}"
E1066,Drew Garcia,Engineering,Analyst,"[579.6, 614.65, 508.24, 637.54]",{},"{""tax"": 111.11, ""pension"": 14.31}"
E1067,Morgan Brown,HR,Engineer,"[1430.9, 1352.69, 1426.78, 1299.67]",{},"{""tax"": 187.78, ""pension"": 67.89}"
E1068,Robin Williams,HR,Director,"[479.56, 516.21, 495.37, 540.01]",{},"{""tax"": 67.23, ""pension"": 16.64}"
E1069,Taylor Miller,Engineering,Engineer,"[580.43, 666.89, 1162.89, 637.12]",{},"{""tax"": 84.64, ""pension"": 18.5}"
E1070,Riley Brown,Sales,Director,"[819.42, 801.24, 805.78, 942.53]",{},"{""tax"": 137.82, ""pension"": 26.01}"
E1071,Jamie Garcia,Support,Director,"[815.21, 788.12, 849.15, 814.11]","{""bonus"": 343.26}","{""tax"": 140.91, ""pension"": 22.78}"
E1072,Morgan Johnson,Finance,Manager,"[1559.58, 1317.39, 1471.33, 1407.95]",{},"{""tax"": 228.67, ""pension"": 30.64}"
E1073,Morgan Jones,HR,Clerk,"[1676.53, 1729.04, 1772.88, 1655.81]",{},"{""tax"": 241.79, ""pension"": 54.43}"
E1074,Avery Jones,HR,Engineer,"[2066.51, 2226.55, 1912.64, 1875.53]",{},"{""tax"": 228.08, ""pension"": 100.33}"
E1075,Morgan Brown,Engineering,Director,"[1524.43, 1482.63, 1696.59, 1634.81]","{""bonus"": 138.35}","{""tax"": 310.08, ""pension"": 77.77}"
E1076,Drew Smith,Finance,Analyst,"[2734.01, 2763.22, 2533.69, 2798.06]",{},"{""tax"": 306.66, ""pension"": 81.52}"
E1077,Alex Miller,Finance,Clerk,"[719.29, 735.16, 791.93, 708.05]",{},"{""tax"": 108.41, ""pension"": 26.76}"
E1078,Cameron Williams,Finance,Director,"[2540.62, 2298.63, 2462.08, 2342.45]",{},"{""tax"": 459.97, ""pension"": 84.94}"
E1079,Riley Wilson,Sales,Clerk,"[1912.92, 2026.8, 1755.73, 1747.58]",{},"{""tax"": 291.03, ""pension"": 39.31}"
E1080,Robin Davis,HR,Manager,"[1117.44, 901.95, 1019.97, 1011.24]",{},"{""tax"": 167.77, ""pension"": 40.1}"
E1081,Jordan Johnson,Sales,Director,"[1610.11, 1742.35, 1708.1, 1569.3]",{},"{""tax"": 295.85, ""pension"": 41.2}"
E1082,Sam Johnson,HR,Analyst,"[833.8, 884.51, 845.35, 804.27]","{""bonus"": 388.25}","{""tax"": 85.77, ""pension"": 17.58}"
E1083,Lee Smith,Support,Clerk,"[1196.15, 1171.04, 1210.71, 1326.26]",{},"{""tax"": 187.98, ""pension"": 59.71}"
E1084,Chris Williams,Sales,Clerk,"[2937.05, 2953.19, 2891.91, 2893.58]",{},"{""tax"": 467.64, ""pension"": 111.17}"
E1085,Robin Wilson,HR,Director,"[2579.63, 2365.63, 2427.16, 2442.82]","{""bonus"": 297.08}","{""tax"": 405.51, ""pension"": 87.11}"
E1086,Jordan Smith,Sales,Manager,"[863.33, 918.43, 954.79, 1030.68]",{},"{""tax"": 160.09, ""pension"": 24.52}"
E1087,Cameron Rodriguez,Finance,Engineer,"[578.63, 576.62, 526.13, 488.21]",{},"{""tax"": 89.87, ""pension"": 18.25}"
E1088,Taylor Jones,Support,Clerk,"[572.99, 673.97, 643.8, 530.07]",{},"{""tax"": 80.5, ""pension"": 27.55}"
E1089,Drew Rodriguez,Sales,Engineer,"[1732.32, 1485.81, 1646.1, 1682.8]",{},"{""tax"": 175.33, ""pension"": 71.59}"
E1090,Avery Jones,HR,Analyst,"[1688.86, 1691.37, 1594.15, 1601.18]","{""bonus"": 294.73}","{""tax"": 287.96, ""pension"": 62.01}"
E1091,Jordan Miller,Sales,Engineer,"[885.23, 925.1, 880.56, 781.85]",{},"{""tax"": 106.94, ""pension"": 42.92}"
E1092,Chris Brown,HR,Clerk,"[545.31, 519.58, 499.85, 505.59]",{},"{""tax"": 97.95, ""pension"": 14.92}"
E1093,Lee Davis,Finance,Manager,"[2712.92, 2605.59, 2681.51, 2854.34]","{""bonus"": 84.04}","{""tax"": 309.58, ""pension"": 74.48}"
E1094,Casey Wilson,HR,Director,"[1602.33, 1543.95, 1655.74, 1515.34]",{},"{""tax"": 196.16, ""pension"": 65.84}"
E1095,Avery Williams,Support,Engineer,"[1539.42, 1583.14, 1636.85, 1634.01]",{},"{""tax"": 156.44, ""pension"": 35.05}"
E1096,Pat Miller,Finance,Engineer,"[714.81, 744.94, 742.59, 671.54]",{},"{""tax"": 85.22, ""pension"": 14.19}"
E1097,Morgan Miller,Engineering,Analyst,"[2457.02, 2424.05, 2405.17, 2446.41]",{},"{""tax"": 292.44, ""pension"": 91.69}"
E1098,Avery Jones,Finance,Director,"[1949.02, 1783.6, 2007.44, 2084.52]","{""bonus"": 97.13}","{""tax"": 389.61, ""pension"": 70.7}"
E1099,Casey Jones,Engineering,Clerk,"[541.2, 555.56, 521.63, 485.32]",{},"{""tax"": 52.58, ""pension"": 25.81}"
E1100,Riley Miller,Engineering,Analyst,"[2365.91, 2287.21, 2629.18, 5331.04]",{},"{""tax"": 263.68, ""pension"": 118.85}"
E1101,Sam Williams,Support,Engineer,"[2799.44, 2525.97, 2454.18, 2694.85]",{},"{""tax"": 306.83, ""pension"": 85.48}"
E1102,Jordan Smith,Finance,Analyst,"[1338.15, 1353.68, 1411.41, 1317.75]",{},"{""tax"": 268.15, ""pension"": 48.68}"
E1103,Jamie Miller,Sales,Manager,"[584.29, 504.1, 532.3, 596.7]",{},"{""tax"": 58.22, ""pension"": 10.9}"
E1104,Riley Garcia,HR,Director,"[1326.08, 1257.36, 1182.73, 1174.94]",{},"{""tax"": 168.91, ""pension"": 32.38}"
E1105,Lee Miller,Sales,Manager,"[1824.54, 2173.84, 2071.1, 2159.55]",{},"{""tax"": 361.61, ""pension"": 91.41}"
E1106,Taylor Rodriguez,Engineering,Clerk,"[1164.71, 1267.82, 1269.5, 1452.36]",{},"{""tax"": 162.89, ""pension"": 44.13}"
E1107,Pat Garcia,Sales,Director,"[1921.24, 1847.09, 2092.45, 1978.86]",{},"{""tax"": 252.64, ""pension"": 85.11}"
E1108,Jamie Smith,Support,Analyst,"[1662.89, 1892.79, 1782.91, 1806.69]",{},"{""tax"": 241.65, ""pension"": 39.47}"
E1109,Robin Garcia,Sales,Engineer,"[943.26, 855.37, 878.6, 813.94]",{},"{""tax"": 120.32, ""pension"": 20.3}"
E1110,Jordan Brown,Finance,Clerk,"[2921.58, 2639.4, 2816.83, 2839.09]",{},"{""tax"": 480.34, ""pension"": 65.39}"
E1111,Alex Smith,Finance,Director,"[2889.17, 2704.36, 2824.38, 2935.61]",{},"{""tax"": 329.64, ""pension"": 115.01}"
E1112,Jamie Garcia,Sales,Clerk,"[2316.26, 2277.38, 2214.48, 2011.6]","{""bonus"": 223.12}","{""tax"": 434.68, ""pension"": 81.74}"
E1113,Morgan Williams,Sales,Engineer,"[2242.03, 2210.81, 3981.57, 2276.81]",{},"{""tax"": 307.67, ""pension"": 73.92}"
E1114,Drew Jones,Sales,Clerk,"[1628.99, 1639.32, 1700.61, 1719.85]",{},"{""tax"": 178.62, ""pension"": 66.19}"
E1115,Avery Brown,Engineering,Analyst,"[2815.24, 2468.71, 2580.96, 2819.87]",{},"{""tax"": 525.57, ""pension"": 68.76}"
E1116,Sam Williams,Finance,Analyst,"[2124.77, 2153.72, 2163.64, 2314.4]",{},"{""tax"": 371.06, ""pension"": 99.67}"
E1117,Pat Smith,Sales,Director,"[831.71, 920.66, 860.29, 871.46]",{},"{""tax"": 90.51, ""pension"": 42.89}"
E1118,Morgan Williams,Engineering,Manager,"[649.76, 640.75, 714.62, 656.57]",{},"{""tax"": 114.87, ""pension"": 32.59}"
E1119,Cameron Smith,Sales,Director,"[1004.94, 1034.94, 1194.75, 1021.94]",{},"{""tax"": 174.37, ""pension"": 38.11}"
E1120,Jamie Jones,Engineering,Manager,"[1882.6, 2170.9, 2074.87, 1947.84]",{},"{""tax"": 337.06, ""pension"": 105.12}"
E1121,Chris Garcia,Engineering,Analyst,"[696.97, 716.28, 625.83, 631.27]",{},"{""tax"": 128.22, ""pension"": 19.38}"
E1122,Robin Smith,Sales,Manager,"[2071.66, 1190.71, 2108.36, 2363.39]",{},"{""tax"": 338.84, ""pension"": 104.65}"
E1123,Casey Wilson,Finance,Clerk,"[2145.5, 2342.85, 2530.38, 2128.38]",{},"{""tax"": 261.33, ""pension"": 66.98}"
E1124,Avery Wilson,HR,Clerk,"[2520.91, 2464.89, 2463.91, 2434.26]","{""bonus"": 227.5}","{""tax"": 262.37, ""pension"": 73.78}"
E1125,Cameron Williams,HR,Clerk,"[1846.62, 1870.98, 1821.22, 1806.91]",{},"{""tax"": 271.98, ""pension"": 65.98}"
E1126,Robin Davis,Support,Analyst,"[2709.89, 2799.52, 2696.34, 2608.41]",{},"{""tax"": 382.93, ""pension"": 104.3}"
E1127,Pat Wilson,Engineering,Manager,"[2137.18, 2253.2, 1992.36, 4496.21]",{},"{""tax"": 419.23, ""pension"": 79.58}"
E1128,Robin Johnson,Sales,Director,"[2310.53, 2363.21, 2248.28, 2504.68]",{},"{""tax"": 443.91, ""pension"": 82.05}"
E1129,Drew Williams,Sales,Manager,"[2051.77, 2133.27, 1938.69, 1976.37]",{},"{""tax"": 226.95, ""pension"": 49.14}"
E1130,Avery Rodriguez,Support,Engineer,"[1636.77, 1645.15, 1605.85, 1558.8]",{},"{""tax"": 293.23, ""pension"": 74.3}"
E1131,Pat Miller,Engineering,Analyst,"[2925.76, 2930.59, 6114.57, 3060.59]","{""bonus"": 490.18}","{""tax"": 551.94, ""pension"": 129.29}"
E1132,Avery Smith,Engineering,Manager,"[745.08, 806.25, 838.07, 332.14]",{},"{""tax"": 124.48, ""pension"": 34.72}"
E1133,Morgan Johnson,Finance,Director,"[2303.71, 2100.13, 2008.81, 2180.73]",{},"{""tax"": 340.92, ""pension"": 77.74}"
E1134,Drew Davis,Sales,Engineer,"[2569.31, 2485.22, 2707.28, 2440.13]",{},"{""tax"": 296.11, ""pension"": 100.34}"
E1135,Drew Jones,HR,Analyst,"[428.5, 404.94, 449.18, 437.36]",{},"{""tax"": 83.28, ""pension"": 17.12}"
E1136,Cameron Jones,Sales,Engineer,"[2111.13, 2277.23, 2218.77, 2082.04]",{},"{""tax"": 271.62, ""pension"": 47.46}"
E1137,Pat Wilson,Support,Manager,"[1723.12, 1512.74, 1599.49, 1608.53]",{},"{""tax"": 305.78, ""pension"": 68.68}"
E1138,Sam Smith,Sales,Director,"[2778.76, 2506.65, 2617.34, 2453.6]",{},"{""tax"": 420.8, ""pension"": 95.85}"
E1139,Casey Miller,HR,Manager,"[2132.78, 2114.72, 2109.23, 2097.23]",{},"{""tax"": 329.14, ""pension"": 101.67}"
E1140,Riley Davis,HR,Director,"[965.18, 998.01, 964.34, 1528.25]",{},"{""tax"": 124.89, ""pension"": 45.01}"
E1141,Lee Brown,Finance,Engineer,"[2705.68, 2658.65, 2674.06, 2654.78]",{},"{""tax"": 282.34, ""pension"": 125.19}"
E1142,Pat Smith,Support,Clerk,"[1251.77, 1308.29, 1344.41, 1306.93]","{""bonus"": 464.91}","{""tax"": 213.77, ""pension"": 35.82}"
E1143,Sam Wilson,Finance,Engineer,"[2445.25, 2581.44, 2501.97, 2528.51]","{""bonus"": 376.31}","{""tax"": 308.05, ""pension"": 117.68}"
E1144,Taylor Garcia,Engineering,Clerk,"[1020.64, 1076.08, 1142.35, 974.51]",{},"{""tax"": 150.05, ""pension"": 36.73}"
E1145,Riley Smith,HR,Analyst,"[1517.7, 1791.92, 1675.67, 1602.66]",{},"{""tax"": 206.72, ""pension"": 57.02}"
E1146,Pat Miller,Finance,Clerk,"[1893.52, 1773.33, 1779.89, 1815.78]",{},"{""tax"": 193.5, ""pension"": 71.96}"
E1147,Lee Rodriguez,Engineering,Director,"[1759.76, 1755.72, 1806.56, 1731.76]","{""bonus"": 289.2}","{""tax"": 350.46, ""pension"": 69.17}"
E1148,Cameron Brown,Finance,Analyst,"[425.99, 443.6, 411.09, 409.94]",{},"{""tax"": 46.06, ""pension"": 11.63}"
E1149,Riley Garcia,Engineering,Director,"[1744.14, 1644.62, 1655.61, 1569.72]",{},"{""tax"": 173.04, ""pension"": 68.56}"
E1150,Pat Rodriguez,Support,Clerk,"[1357.65, 1548.73, 1328.25, 1203.48]",{},"{""tax"": 253.64, ""pension"": 59.88}"
E1151,Casey Johnson,Sales,Analyst,"[2847.88, 2568.57, 2669.6, 2314.08]",{},"{""tax"": 300.3, ""pension"": 117.79}"
E1152,Drew Rodriguez,Sales,Director,"[2424.77, 2476.74, 2265.84, 2639.5]","{""bonus"": 227.43}","{""tax"": 394.76, ""pension"": 56.46}"
E1153,Chris Garcia,HR,Manager,"[2580.42, 2639.28, 2672.34, 2597.51]",{},"{""tax"": 329.49, ""pension"": 111.07}"
E1154,Cameron Rodriguez,Finance,Clerk,"[507.14, 502.92, 420.91, 457.55]",{},"{""tax"": 89.48, ""pension"": 19.11}"
E1155,Jamie Garcia,Sales,Analyst,"[1224.66, 1226.84, 1213.67, 1199.15]",{},"{""tax"": 230.52, ""pension"": 28.86}"
E1156,Jamie Rodriguez,HR,Clerk,"[619.6, 569.5, 600.42, 617.16]",{},"{""tax"": 85.16, ""pension"": 17.72}"
E1157,Drew Brown,Sales,Engineer,"[2357.17, 2423.87, 2065.16, 2235.52]",{},"{""tax"": 278.61, ""pension"": 70.45}"
E1158,Pat Wilson,Support,Clerk,"[1075.66, 2306.57, 2273.09, 2219.01]",{},"{""tax"": 291.69, ""pension"": 61.36}"
E1159,Robin Williams,Engineering,Clerk,"[2473.59, 2786.06, 2679.24, 2771.0]",{},"{""tax"": 505.51, ""pension"": 69.48}"
E1160,Cameron Garcia,Sales,Director,"[2650.92, 3663.11, 2374.77, 2608.61]",{},"{""tax"": 436.76, ""pension"": 90.93}"
E1161,Robin Johnson,Engineering,Clerk,"[1404.09, 1494.43, 1456.61, 1430.57]",{},"{""tax"": 223.01, ""pension"": 58.27}"
E1162,Riley Rodriguez,HR,Engineer,"[3106.73, 1432.79, 1387.89, 1298.18]",{},"{""tax"": 238.36, ""pension"": 33.64}"
E1163,Cameron Garcia,Finance,Clerk,"[2679.46, 2787.0, 2652.83, 2651.08]","{""bonus"": 71.06}","{""tax"": 418.51, ""pension"": 126.23}"
E1164,Morgan Garcia,Sales,Manager,"[2292.33, 2458.54, 2401.73, 2291.83]",{},"{""tax"": 317.5, ""pension"": 66.98}"
E1165,Robin Smith,Finance,Manager,"[2925.71, 2961.6, 2928.39, 3105.95]",{},"{""tax"": 512.68, ""pension"": 74.81}"
E1166,Pat Johnson,Sales,Analyst,"[2427.55, 2546.12, 2817.22, 2280.56]",{},"{""tax"": 464.64, ""pension"": 93.76}"
E1167,Jordan Jones,Support,Clerk,"[583.54, 591.93, 613.11, 591.46]",{},"{""tax"": 105.65, ""pension"": 28.79}"
E1168,Pat Brown,Finance,Engineer,"[1935.71, 1744.06, 1888.8, 1984.23]",{},"{""tax"": 221.57, ""pension"": 37.33}"
E1169,Robin Williams,Sales,Engineer,"[2645.12, 2726.13, 2921.24, 2658.95]",{},"{""tax"": 339.32, ""pension"": 53.72}"
E1170,Casey Jones,Finance,Clerk,"[1835.08, 1892.57, 2153.81, 1898.12]",{},"{""tax"": 231.67, ""pension"": 54.08}"
E1171,Lee Miller,Finance,Analyst,"[1947.65, 1961.07, 1980.71, 1914.62]",{},"{""tax"": 346.08, ""pension"": 57.95}"
E1172,Taylor Miller,Sales,Clerk,"[1018.99, 975.94, 1905.17, 928.63]",{},"{""tax"": 147.97, ""pension"": 20.88}"
E1173,Morgan Rodriguez,Finance,Clerk,"[2005.86, 1938.6, 2155.82, 1995.48]",{},"{""tax"": 353.88, ""pension"": 92.74}"
E1174,Jamie Jones,Support,Engineer,"[699.52, 838.36, 745.75, 827.69]",{},"{""tax"": 97.0, ""pension"": 36.04}"
E1175,Pat Rodriguez,Finance,Director,"[1463.02, 1387.82, 1393.5, 1311.07]",{},"{""tax"": 276.11, ""pension"": 62.89}"
E1176,Jordan Smith,HR,Director,"[1503.02, 1502.72, 1517.74, 1462.02]",{},"{""tax"": 178.64, ""pension"": 35.89}"
E1177,Sam Brown,HR,Clerk,"[1975.7, 509.28, 1908.98, 1910.21]",{},"{""tax"": 208.52, ""pension"": 81.5}"
E1178,Lee Brown,Sales,Clerk,"[1833.35, 1657.3, 1777.23, 1755.01]",{},"{""tax"": 234.5, ""pension"": 37.04}"
E1179,Robin Davis,Sales,Engineer,"[2883.68, 2956.88, 2932.16, 2658.29]","{""bonus"": 484.38}","{""tax"": 332.44, ""pension"": 91.67}"
E1180,Pat Wilson,Finance,Engineer,"[2729.67, 2735.04, 2964.07, 2833.38]",{},"{""tax"": 406.25, ""pension"": 56.94}"
E1181,Cameron Johnson,Finance,Engineer,"[1412.3, 1415.56, 1410.12, 1379.43]","{""bonus"": 233.71}","{""tax"": 224.51, ""pension"": 56.88}"
E1182,Avery Garcia,Engineering,Engineer,"[1417.2, 1446.06, 1442.26, 1533.52]",{},"{""tax"": 268.8, ""pension"": 61.29}"
E1183,Avery Rodriguez,Sales,Analyst,"[2342.29, 2665.98, 2638.22, 2636.86]",{},"{""tax"": 409.98, ""pension"": 117.91}"
E1184,Sam Davis,Engineering,Clerk,"[1709.15, 1718.79, 1737.47, 1941.31]",{},"{""tax"": 218.45, ""pension"": 36.07}"
E1185,Lee Brown,HR,Manager,"[1975.47, 2100.78, 2088.56, 2028.8]",{},"{""tax"": 211.95, ""pension"": 101.94}"
E1186,Avery Smith,Support,Clerk,"[618.45, 650.08, 311.49, 609.4]",{},"{""tax"": 81.96, ""pension"": 18.23}"
E1187,Jordan Brown,HR,Director,"[2938.86, 2855.98, 2921.29, 2755.0]",{},"{""tax"": 355.04, ""pension"": 83.6}"
E1188,Sam Wilson,Support,Clerk,"[798.73, 857.32, 806.98, 811.84]",{},"{""tax"": 144.18, ""pension"": 24.76}"
E1189,Jamie Williams,Support,Director,"[688.6, 806.98, 744.09, 655.95]",{},"{""tax"": 110.6, ""pension"": 24.06}"
